window_id,percentile,rank,policy_id,policy_name,semantic_score,theta
31,top10%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top10%,7,8231da93,reind_8231,0.8567,-4.9926
31,top10%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top20%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top20%,2,366289ca,reind_3662,0.9933,-4.9929
31,top20%,3,c6739e51,reind_c673,0.9667,-5.0
31,top20%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top20%,5,637c6766,reind_637c,0.8853,-4.9936
31,top20%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top20%,7,8231da93,reind_8231,0.8567,-4.9926
31,top20%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top20%,9,1999ea44,reind_1999,0.85,-5.0
31,top20%,10,ae5b5760,reind_ae5b,0.8499,-5.0
31,top50%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top50%,2,366289ca,reind_3662,0.9933,-4.9929
31,top50%,3,c6739e51,reind_c673,0.9667,-5.0
31,top50%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top50%,5,637c6766,reind_637c,0.8853,-4.9936
31,top50%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top50%,7,8231da93,reind_8231,0.8567,-4.9926
31,top50%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top50%,9,1999ea44,reind_1999,0.85,-5.0
31,top50%,10,ae5b5760,reind_ae5b,0.8499,-5.0
31,top60%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top60%,2,366289ca,reind_3662,0.9933,-4.9929
31,top60%,3,c6739e51,reind_c673,0.9667,-5.0
31,top60%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top60%,5,637c6766,reind_637c,0.8853,-4.9936
31,top60%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top60%,7,8231da93,reind_8231,0.8567,-4.9926
31,top60%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top60%,9,1999ea44,reind_1999,0.85,-5.0
31,top60%,10,ae5b5760,reind_ae5b,0.8499,-5.0
32,top10%,1,366289ca,reind_3662,0.9906,-4.9929
32,top10%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top10%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top10%,4,637c6766,reind_637c,0.8948,-4.9936
32,top10%,5,8231da93,reind_8231,0.8906,-4.9926
32,top10%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top10%,7,c190390d,reind_c190,0.8487,-5.0
32,top10%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top20%,1,366289ca,reind_3662,0.9906,-4.9929
32,top20%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top20%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top20%,4,637c6766,reind_637c,0.8948,-4.9936
32,top20%,5,8231da93,reind_8231,0.8906,-4.9926
32,top20%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top20%,7,c190390d,reind_c190,0.8487,-5.0
32,top20%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top20%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top20%,10,6215172a,reind_6215,0.8472,-5.0
32,top50%,1,366289ca,reind_3662,0.9906,-4.9929
32,top50%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top50%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top50%,4,637c6766,reind_637c,0.8948,-4.9936
32,top50%,5,8231da93,reind_8231,0.8906,-4.9926
32,top50%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top50%,7,c190390d,reind_c190,0.8487,-5.0
32,top50%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top50%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top50%,10,6215172a,reind_6215,0.8472,-5.0
32,top60%,1,366289ca,reind_3662,0.9906,-4.9929
32,top60%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top60%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top60%,4,637c6766,reind_637c,0.8948,-4.9936
32,top60%,5,8231da93,reind_8231,0.8906,-4.9926
32,top60%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top60%,7,c190390d,reind_c190,0.8487,-5.0
32,top60%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top60%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top60%,10,6215172a,reind_6215,0.8472,-5.0
34,top10%,1,366289ca,reind_3662,0.9801,-4.9929
34,top10%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top10%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top10%,4,637c6766,reind_637c,0.9199,-4.9936
34,top10%,5,64527318,reind_6452,0.8505,-4.9931
34,top10%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top10%,7,c6739e51,reind_c673,0.8457,-5.0
34,top10%,8,6215172a,reind_6215,0.8406,-5.0
34,top20%,1,366289ca,reind_3662,0.9801,-4.9929
34,top20%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top20%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top20%,4,637c6766,reind_637c,0.9199,-4.9936
34,top20%,5,64527318,reind_6452,0.8505,-4.9931
