window_id,percentile,rank,policy_id,policy_name,semantic_score,theta
40,top10%,7,8231da93,reind_8231,0.8862,-4.9926
40,top10%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top20%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top20%,2,637c6766,reind_637c,0.9692,-4.9936
40,top20%,3,366289ca,reind_3662,0.9377,-4.9929
40,top20%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top20%,5,64527318,reind_6452,0.9192,-4.9931
40,top20%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top20%,7,8231da93,reind_8231,0.8862,-4.9926
40,top20%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top20%,9,c190390d,reind_c190,0.8492,-5.0
40,top20%,10,ae5b5760,reind_ae5b,0.8487,-5.0
40,top50%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top50%,2,637c6766,reind_637c,0.9692,-4.9936
40,top50%,3,366289ca,reind_3662,0.9377,-4.9929
40,top50%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top50%,5,64527318,reind_6452,0.9192,-4.9931
40,top50%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top50%,7,8231da93,reind_8231,0.8862,-4.9926
40,top50%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top50%,9,c190390d,reind_c190,0.8492,-5.0
40,top50%,10,ae5b5760,reind_ae5b,0.8487,-5.0
40,top60%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top60%,2,637c6766,reind_637c,0.9692,-4.9936
40,top60%,3,366289ca,reind_3662,0.9377,-4.9929
40,top60%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top60%,5,64527318,reind_6452,0.9192,-4.9931
40,top60%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top60%,7,8231da93,reind_8231,0.8862,-4.9926
40,top60%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top60%,9,c190390d,reind_c190,0.8492,-5.0
