window_id,percentile,k,theta_min,theta_max,theta_mean,theta_median,theta_std,semantic_mean
18,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8324
18,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7157
18,top60%,49,-5.0,-4.9878,-4.9976,-5.0,0.0038,0.6686
20,top10%,8,-5.0,-4.9923,-4.9981,-5.0,0.0032,0.8428
20,top20%,16,-5.0,-4.9889,-4.997,-5.0,0.0039,0.803
20,top50%,41,-5.0,-4.9889,-4.9979,-5.0,0.0034,0.6954
20,top60%,49,-5.0,-4.9878,-4.9976,-5.0,0.0038,0.6491
17,top10%,8,-5.0,-4.9923,-4.9955,-4.9933,0.0035,0.9376
17,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.8835
17,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7671
17,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.7187
21,top10%,8,-5.0,-4.9923,-4.9981,-5.0,0.0032,0.8442
21,top20%,16,-5.0,-4.9889,-4.997,-5.0,0.0039,0.8059
21,top50%,41,-5.0,-4.9889,-4.9979,-5.0,0.0034,0.6926
21,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.6472
24,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.939
24,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.8945
24,top50%,41,-5.0,0.0109,-4.8757,-5.0,0.7726,0.7557
24,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.7101
23,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9298
23,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.8709
23,top50%,41,-5.0,0.0109,-4.8758,-5.0,0.7727,0.7372
23,top60%,49,-5.0,0.0109,-4.8957,-5.0,0.7082,0.6918
22,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9012
22,top20%,16,-5.0,-4.9889,-4.9966,-5.0,0.0039,0.847
22,top50%,41,-5.0,-4.9889,-4.998,-5.0,0.0034,0.7066
22,top60%,49,-5.0,0.0109,-4.8957,-5.0,0.7082,0.6575
25,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9578
25,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.9067
25,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7718
25,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7267
26,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9721
26,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.9107
26,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7744
26,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7281
27,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9724
27,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.9122
27,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7744
27,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7283
28,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9625
28,top20%,16,-5.0,-4.9889,-4.9976,-5.0,0.0038,0.9031
28,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7719
28,top60%,49,-5.0,0.0109,-4.8949,-5.0,0.7081,0.7253
30,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9642
30,top20%,16,-5.0,-4.9889,-4.9976,-5.0,0.0038,0.9059
30,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7707
30,top60%,49,-5.0,0.0109,-4.8949,-5.0,0.7081,0.725
29,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.955
29,top20%,16,-5.0,-4.9889,-4.9976,-5.0,0.0038,0.9007
29,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7655
29,top60%,49,-5.0,0.0109,-4.8949,-5.0,0.7081,0.7201
31,top10%,8,-5.0,-4.9926,-4.9974,-5.0,0.0034,0.9177
31,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.8812
31,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7632
31,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7157
32,top10%,8,-5.0,-4.9926,-4.9965,-4.9968,0.0035,0.8947
32,top20%,16,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.8655
32,top50%,41,-5.0,-4.9878,-4.9974,-5.0,0.0038,0.7613
32,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7138
34,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9019
34,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.8477
34,top50%,41,-5.0,-4.9889,-4.9979,-5.0,0.0034,0.727
34,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.6802
33,top10%,8,-5.0,-4.9923,-4.9965,-4.9968,0.0035,0.9321
33,top20%,16,-5.0,-4.9889,-4.9976,-5.0,0.0038,0.8768
33,top50%,41,-5.0,-4.9889,-4.9978,-5.0,0.0034,0.7425
33,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.6965
36,top10%,8,-5.0,-4.9889,-4.9951,-4.9934,0.004,0.8797
36,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.8113
36,top50%,41,-5.0,0.0109,-4.8761,-5.0,0.7727,0.676
36,top60%,49,-5.0,0.0109,-4.8957,-5.0,0.7082,0.629
35,top10%,8,-5.0,-4.9889,-4.9951,-4.9934,0.004,0.8618
35,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.801
35,top50%,41,-5.0,0.0109,-4.8761,-5.0,0.7727,0.6685
35,top60%,49,-5.0,0.0109,-4.8957,-5.0,0.7082,0.6204
37,top10%,8,-5.0,-4.9889,-4.996,-4.9968,0.0042,0.8869
37,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.8213
37,top50%,41,-5.0,0.0109,-4.8763,-5.0,0.7727,0.6876
37,top60%,49,-5.0,0.0109,-4.7939,-5.0,0.9899,0.6409
39,top10%,8,-5.0,-4.9931,-4.9975,-5.0,0.0033,0.8634
39,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0038,0.8369
39,top50%,41,-5.0,0.0109,-4.7544,-5.0,1.0777,0.7212
39,top60%,49,-5.0,0.0109,-4.7936,-5.0,0.9898,0.6725
38,top10%,8,-5.0,-4.9889,-4.9951,-4.9934,0.004,0.9032
38,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.8305
38,top50%,41,-5.0,0.0109,-4.8763,-5.0,0.7727,0.6946
38,top60%,49,-5.0,0.0109,-4.7939,-5.0,0.9899,0.6467
40,top10%,8,-5.0,-4.9923,-4.9956,-4.9934,0.0035,0.9226
40,top20%,16,-5.0,-4.9889,-4.9967,-5.0,0.0039,0.88
40,top50%,41,-5.0,0.0109,-4.8752,-5.0,0.7726,0.7542
40,top60%,49,-5.0,0.0109,-4.8952,-5.0,0.7082,0.7085
41,top10%,8,-5.0,-4.9926,-4.9974,-5.0,0.0034,0.9297
41,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.8886
41,top50%,41,-5.0,0.0109,-4.8753,-5.0,0.7726,0.7704
41,top60%,49,-5.0,0.0109,-4.8955,-5.0,0.7082,0.7241
42,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9484
42,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8957
42,top50%,41,-5.0,0.0109,-4.8753,-5.0,0.7726,0.7667
42,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.7185
44,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9577
44,top20%,16,-5.0,-4.9889,-4.9975,-5.0,0.0038,0.8993
44,top50%,41,-5.0,-4.9779,-4.9968,-5.0,0.0048,0.7774
44,top60%,49,-5.0,-4.9779,-4.9972,-5.0,0.0046,0.7277
43,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0034,0.9399
43,top20%,16,-5.0,-4.9889,-4.998,-5.0,0.0036,0.892
43,top50%,41,-5.0,0.0109,-4.8755,-5.0,0.7726,0.7623
43,top60%,49,-5.0,0.0109,-4.8951,-5.0,0.7081,0.716
47,top10%,8,-5.0,-4.9926,-4.9973,-5.0,0.0035,0.9191
47,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.8772
47,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7755
47,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7287
45,top10%,8,-5.0,-4.9923,-4.9973,-5.0,0.0035,0.9785
45,top20%,16,-5.0,-4.9889,-4.9971,-5.0,0.0039,0.9128
45,top50%,41,-5.0,-4.9779,-4.997,-5.0,0.0048,0.7803
45,top60%,49,-5.0,-4.9779,-4.9972,-5.0,0.0046,0.7327
46,top10%,8,-5.0,-4.9926,-4.9973,-5.0,0.0035,0.9498
46,top20%,16,-5.0,-4.9923,-4.9978,-5.0,0.0033,0.8964
46,top50%,41,-5.0,-4.9878,-4.9974,-5.0,0.0038,0.781
46,top60%,49,-5.0,-4.9779,-4.9974,-5.0,0.0045,0.7326
48,top10%,8,-5.0,-4.9923,-4.9972,-5.0,0.0036,0.8626
48,top20%,16,-5.0,-4.9923,-4.9982,-5.0,0.0032,0.8285
48,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7155
48,top60%,49,-5.0,-4.9889,-4.9978,-5.0,0.0035,0.6731
49,top10%,8,-5.0,-4.9923,-4.9972,-5.0,0.0036,0.8457
49,top20%,16,-5.0,-4.9923,-4.9982,-5.0,0.0032,0.8199
49,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.7006
49,top60%,49,-5.0,-4.9889,-4.9978,-5.0,0.0035,0.6577
50,top10%,8,-5.0,-4.9923,-4.9972,-5.0,0.0036,0.8452
50,top20%,16,-5.0,-4.9923,-4.9977,-5.0,0.0034,0.8125
50,top50%,41,-5.0,-4.9889,-4.9977,-5.0,0.0035,0.6935
50,top60%,49,-5.0,0.0109,-4.8956,-5.0,0.7082,0.649
