metric,NoRule_Mean,NoRule_Std,GenRule_Mean,GenRule_Std,RefRule_Mean,RefRule_Std,Gen_vs_No_%,Ref_vs_No_%,Ref_vs_Gen_%
RMSE,3.115638962791957,1.2854884806654465,2.918650791184879,1.171403037039299,2.918650791184879,1.171403037039299,6.322560924406814,6.322560924406814,0.0
MAE,2.6026468822134747,1.1887263839194755,2.4374121456729494,1.04448774878035,2.4374121456729494,1.04448774878035,6.348718977965925,6.348718977965925,0.0
MAPE,35.36225795395061,50.723387863861724,33.41161249110403,50.88421614677858,33.41161249110403,50.88421614677858,5.516179044298436,5.516179044298436,0.0
sMAPE,25.3099864822578,14.69314662120369,23.978457053668293,13.532256520597262,23.978457053668293,13.532256520597262,5.260885577805037,5.260885577805037,0.0
MASE,2.6026468822134747,1.1887263839194755,2.4374121456729494,1.04448774878035,2.4374121456729494,1.04448774878035,6.348718977965925,6.348718977965925,0.0
RMSSE,1.3364422521105759,0.624079603127609,1.2431279888486495,0.5044661926199515,1.2431279888486495,0.5044661926199515,6.9822892171030855,6.9822892171030855,0.0
OWA,2.859142922502716,1.2326947439624367,2.6780314684289137,1.1045565993976703,2.6780314684289137,1.1045565993976703,6.3344666210414,6.3344666210414,0.0
