Date,Price,Open,High,Low,Change %
2019-10-28,1492.69,1504.21,1508.36,1489.65,-0.8
2020-10-28,1877.06,1908.05,1911.03,1869.59,-1.56
2021-10-28,1798.62,1796.78,1810.49,1792.34,0.11
2022-10-28,1641.76,1663.3,1667.44,1637.39,-1.27
2024-10-28,2741.98,2734.84,2746.06,2724.72,-0.21
2016-11-28,1193.44,1183.1,1197.6,1182.96,0.83
2017-11-28,1294.01,1294.85,1297.74,1291.01,-0.04
2018-11-28,1221.11,1214.64,1226.32,1210.73,0.53
2019-11-28,1458.34,1456.85,1458.45,1454.19,0.27
2022-11-28,1740.75,1755.0,1764.08,1739.14,-0.88
2023-11-28,2040.89,2013.94,2043.0,2011.6,1.35
2024-11-28,2640.96,2635.74,2650.12,2620.95,0.21
2015-12-28,1069.05,1076.0,1077.15,1066.3,-0.63
2016-12-28,1142.45,1139.64,1144.84,1136.54,0.27
2017-12-28,1294.84,1287.31,1295.3,1286.66,0.58
2018-12-28,1280.75,1275.22,1282.17,1273.98,0.43
2020-12-28,1871.19,1885.93,1900.53,1869.21,-0.25
2021-12-28,1805.37,1811.84,1820.7,1804.38,-0.31
2022-12-28,1804.09,1814.0,1815.18,1796.56,-0.54
2023-12-28,2064.86,2077.34,2088.54,2065.89,-0.59
2015-01-29,1257.25,1285.35,1286.25,1252.61,-2.17
2016-01-29,1118.04,1115.16,1118.5,1108.9,0.26
2018-01-29,1340.35,1350.07,1352.65,1337.74,-0.73
2019-01-29,1311.93,1303.53,1312.05,1302.12,0.64
2020-01-29,1577.12,1566.21,1577.96,1563.1,0.69
2021-01-29,1846.09,1840.9,1876.03,1839.56,0.31
2024-01-29,2031.75,2019.4,2037.75,2017.38,0.66
2025-01-29,2757.71,2763.48,2766.53,2744.71,-0.2
2016-02-29,1238.14,1222.73,1241.29,1217.98,1.27
2024-02-29,2043.24,2034.92,2050.79,2027.75,0.42
2016-03-29,1242.55,1221.4,1243.65,1215.65,1.76
2017-03-29,1252.45,1251.64,1255.16,1247.25,0.07
2018-03-29,1325.0,1325.41,1329.32,1322.21,0.0
2019-03-29,1292.15,1290.14,1299.82,1286.6,0.12
2021-03-29,1711.99,1732.15,1733.34,1705.58,-1.15
2022-03-29,1919.19,1922.95,1929.41,1890.03,-0.21
2023-03-29,1964.04,1972.82,1974.64,1958.62,-0.49
2015-04-29,1204.8,1212.1,1213.7,1201.63,-0.6
2016-04-29,1293.74,1266.27,1296.49,1265.14,2.15
2019-04-29,1279.8,1286.4,1286.81,1277.78,-0.5
2020-04-29,1712.38,1708.72,1717.52,1697.72,0.22
2021-04-29,1771.24,1780.9,1790.43,1756.19,-0.57
2022-04-29,1896.4,1894.43,1919.97,1892.25,0.11
2024-04-29,2334.44,2337.5,2346.85,2320.08,-0.14
2015-05-29,1190.5,1188.65,1193.81,1187.08,0.17
2017-05-29,1266.97,1267.47,1269.12,1265.12,-0.01
2018-05-29,1298.86,1298.68,1307.14,1294.3,0.06
2019-05-29,1279.6,1279.71,1285.77,1278.87,0.01
2020-05-29,1728.3,1721.7,1738.99,1713.79,0.52
2023-05-29,1942.84,1944.09,1949.75,1940.3,-0.18
2024-05-29,2338.77,2361.0,2362.86,2334.75,-0.94
2015-06-29,1180.36,1184.96,1187.32,1173.99,0.45
2016-06-29,1318.89,1312.39,1328.23,1311.29,0.49
2017-06-29,1245.74,1249.18,1253.71,1239.66,-0.29
2018-06-29,1253.0,1247.74,1256.38,1246.51,0.38
2020-06-29,1772.28,1773.27,1775.86,1766.07,0.05
2021-06-29,1761.09,1778.44,1779.24,1750.11,-0.96
2022-06-29,1817.11,1819.95,1833.24,1812.1,-0.14
2023-06-29,1908.15,1908.8,1913.15,1893.01,0.04
2015-07-29,1096.69,1095.48,1101.85,1090.21,0.12
2016-07-29,1350.91,1335.75,1355.42,1330.0,1.13
2019-07-29,1426.94,1419.04,1428.25,1416.86,0.58
2020-07-29,1970.73,1959.71,1980.67,1944.96,0.57
2021-07-29,1827.95,1807.15,1833.05,1806.29,1.17
2022-07-29,1765.22,1755.81,1768.17,1752.19,0.58
2024-07-29,2383.54,2387.2,2403.23,2369.77,-0.09
2016-08-29,1323.41,1320.47,1325.43,1315.1,0.16
2017-08-29,1309.5,1317.75,1326.14,1304.93,-0.08
2018-08-29,1206.66,1201.28,1207.73,1200.9,0.45
2019-08-29,1527.7,1539.2,1550.7,1519.4,-0.74
2022-08-29,1737.82,1736.19,1745.63,1720.08,0.06
2023-08-29,1937.12,1920.23,1938.41,1914.0,0.91
2024-08-29,2521.18,2504.65,2528.77,2503.65,0.76
2015-09-29,1127.46,1132.25,1134.9,1124.35,-0.41
2016-09-29,1320.27,1322.08,1326.02,1315.89,-0.09
2017-09-29,1279.45,1286.91,1290.47,1278.24,-0.61
2020-09-29,1897.69,1881.4,1899.24,1875.56,0.9
2021-09-29,1726.11,1733.97,1746.11,1721.07,-0.44
2022-09-29,1660.29,1659.88,1665.12,1641.05,0.05
2023-09-29,1848.31,1865.43,1880.24,1846.34,-0.87
2015-10-29,1145.91,1156.09,1162.76,1144.6,-0.88
2018-10-29,1229.74,1234.16,1235.79,1224.45,-0.31
2019-10-29,1487.6,1492.64,1495.0,1483.71,-0.34
2020-10-29,1867.13,1876.94,1885.42,1859.67,-0.53
2021-10-29,1782.81,1799.03,1801.49,1771.7,-0.88
2024-10-29,2775.13,2743.7,2775.89,2739.82,1.21
2016-11-29,1188.46,1193.3,1195.06,1180.97,-0.42
2017-11-29,1283.57,1293.9,1296.75,1281.98,-0.81
2018-11-29,1223.99,1221.43,1229.35,1220.49,0.24
2019-11-29,1464.8,1456.7,1467.21,1453.38,0.44
2021-11-29,1785.01,1790.05,1799.8,1781.23,-0.38
2022-11-29,1749.73,1740.82,1759.33,1738.98,0.52
2023-11-29,2044.59,2041.24,2052.09,2035.05,0.18
2024-11-29,2653.55,2641.2,2666.35,2634.11,0.48
2015-12-29,1068.99,1069.2,1075.79,1067.29,-0.01
2016-12-29,1158.32,1142.39,1159.58,1140.81,1.39
2017-12-29,1302.55,1294.85,1307.69,1293.59,0.6
2020-12-29,1877.99,1872.24,1886.91,1870.99,0.36
2021-12-29,1803.66,1805.59,1808.16,1788.94,-0.09
2022-12-29,1814.89,1804.16,1820.52,1802.02,0.6
2023-12-29,2062.59,2065.15,2075.15,2057.75,-0.11
2015-01-30,1283.55,1257.61,1285.35,1257.25,2.09
2017-01-30,1195.35,1192.85,1199.88,1188.15,0.31
2018-01-30,1338.55,1340.67,1349.12,1334.48,-0.13
2019-01-30,1319.91,1312.27,1323.74,1308.81,0.61
2020-01-30,1574.22,1576.98,1585.97,1572.49,-0.18
2023-01-30,1922.52,1928.4,1934.61,1920.58,-0.25
2024-01-30,2036.12,2031.97,2048.48,2029.19,0.21
2025-01-30,2793.88,2757.9,2798.8,2757.24,1.31
2015-03-30,1186.2,1198.85,1199.5,1182.55,-1.09
2016-03-30,1224.85,1241.3,1243.3,1223.33,-1.42
2017-03-30,1243.3,1253.1,1254.2,1242.61,-0.73
2020-03-30,1623.3,1617.38,1635.59,1607.63,-0.01
2021-03-30,1684.8,1712.55,1714.74,1678.85,-1.59
2022-03-30,1933.06,1920.07,1938.53,1915.74,0.72
2023-03-30,1980.25,1962.58,1984.4,1955.44,0.83
2015-04-30,1184.37,1205.18,1207.52,1177.32,-1.7
2018-04-30,1315.36,1322.81,1325.34,1310.51,-0.56
2019-04-30,1283.6,1279.98,1286.39,1279.54,0.3
2020-04-30,1685.05,1715.22,1726.14,1684.16,-1.6
2021-04-30,1768.59,1772.9,1773.98,1763.73,-0.15
2024-04-30,2285.57,2335.1,2336.54,2284.94,-2.09
2016-05-30,1205.58,1213.38,1213.83,1199.97,-0.56
2017-05-30,1263.1,1267.24,1270.86,1259.39,-0.31
2018-05-30,1301.48,1299.02,1304.7,1295.75,0.2
2019-05-30,1288.85,1279.71,1289.22,1274.79,0.72
2022-05-30,1856.21,1852.19,1864.34,1847.92,0.19
2023-05-30,1959.14,1944.19,1963.63,1932.08,0.84
2024-05-30,2343.0,2339.67,2351.83,2322.72,0.18
2015-06-30,1172.6,1180.06,1180.8,1166.75,-0.66
2016-06-30,1322.18,1317.71,1324.11,1312.95,0.25
2017-06-30,1241.6,1244.82,1248.59,1239.7,-0.33
2020-06-30,1781.66,1771.77,1786.46,1765.77,0.53
2021-06-30,1769.8,1761.35,1774.72,1752.78,0.49
2022-06-30,1806.89,1817.8,1825.9,1802.2,-0.56
2023-06-30,1919.57,1908.53,1922.9,1900.56,0.6
2015-07-30,1088.99,1097.76,1099.82,1083.36,-0.7
2018-07-30,1221.8,1223.05,1225.59,1219.05,-0.13
2019-07-30,1430.85,1426.71,1433.03,1421.91,0.27
2020-07-30,1960.5,1970.89,1972.25,1940.17,-0.52
2021-07-30,1813.58,1828.21,1831.63,1809.48,-0.79
2024-07-30,2408.43,2383.66,2413.0,2376.51,1.04
2016-08-30,1311.15,1323.2,1325.7,1309.15,-0.93
2017-08-30,1308.76,1309.26,1313.87,1305.26,-0.06
2018-08-30,1199.88,1206.32,1208.18,1196.32,-0.56
2019-08-30,1520.25,1527.6,1533.4,1517.51,-0.49
